episode,steps,collisions,timeout,runtime_s,success
0,0,0,0,2.217,1
1,0,0,0,19.040,0
2,0,0,0,1.121,1
3,0,0,0,5.205,1
4,0,0,0,1.092,1
5,0,0,0,2.988,1
6,0,1,0,0.457,0
7,0,1,0,3.833,1
8,0,1,0,3.606,1
9,0,1,0,18.836,0
10,0,1,0,20.488,0
11,0,1,0,13.227,1
12,0,2,0,1.701,0
13,0,2,0,1.245,1
14,0,2,0,20.441,0
15,0,2,0,3.795,1
16,0,2,0,3.354,1
17,0,2,0,1.069,1
18,0,2,0,3.497,1
19,0,2,0,20.764,0
20,0,3,0,0.909,0
21,0,3,0,10.826,1
22,0,4,0,1.481,0
23,0,5,0,1.130,0
24,0,6,0,1.180,0
25,0,6,0,0.534,1
26,0,7,0,2.309,0
27,0,7,0,6.295,1
28,0,7,0,20.140,0
29,0,7,0,2.249,1
30,0,7,0,1.261,1
31,0,8,0,0.264,0
32,0,8,0,2.927,1
33,0,8,0,19.335,0
34,0,9,0,0.723,0
35,0,10,0,2.452,0
36,0,11,0,2.197,0
37,0,11,0,3.305,1
38,0,11,0,7.979,1
39,0,11,0,2.415,1
40,0,12,0,0.536,0
41,0,12,0,3.733,1
42,0,12,0,3.860,1
43,0,12,0,2.110,1
44,0,12,0,0.857,1
45,0,13,0,0.972,0
46,0,14,0,1.395,0
47,0,15,0,1.255,0
48,0,15,0,2.454,1
49,0,16,0,0.901,0
50,0,17,0,1.096,0
51,0,17,0,5.382,1
52,0,18,0,3.129,0
53,0,18,0,1.369,1
54,0,19,0,1.547,0
55,0,19,0,2.836,1
56,0,20,0,0.253,0
57,0,21,0,0.603,0
58,0,22,0,2.211,0
59,0,23,0,1.287,0
60,0,23,0,18.159,0
61,0,23,0,3.021,1
62,0,23,0,6.429,1
63,0,23,0,4.484,1
64,0,24,0,0.565,0
65,0,25,0,12.561,0
66,0,25,0,3.536,1
67,0,25,0,1.874,1
68,0,26,0,0.330,0
69,0,26,0,3.067,1
70,0,26,0,4.727,1
71,0,26,0,21.151,0
72,0,26,0,1.938,1
73,0,26,0,18.852,0
74,0,27,0,1.856,0
75,0,27,0,17.226,0
76,0,27,0,3.904,1
77,0,27,0,2.441,1
78,0,28,0,0.705,0
79,0,28,0,1.077,1
80,0,28,0,19.798,0
81,0,28,0,0.034,1
82,0,29,0,0.863,0
83,0,29,0,17.532,0
84,0,29,0,1.037,1
85,0,30,0,0.922,0
86,0,30,0,1.155,1
87,0,30,0,15.551,1
88,0,30,0,19.054,0
89,0,31,0,1.045,0
90,0,31,0,19.814,0
91,0,31,0,18.496,0
92,0,32,0,0.211,0
93,0,33,0,1.267,0
94,0,34,0,1.695,0
95,0,35,0,1.128,0
96,0,36,0,1.227,0
97,0,36,0,19.470,0
98,0,37,0,0.602,0
99,0,37,0,19.494,0
100,0,37,0,19.706,0
101,0,37,0,16.940,1
102,0,38,0,1.633,0
103,0,38,0,3.358,1
104,0,38,0,4.630,1
105,0,38,0,19.433,0
106,0,38,0,3.403,1
107,0,38,0,3.612,1
108,0,39,0,0.846,0
109,0,39,0,2.950,1
110,0,40,0,1.235,0
111,0,40,0,1.181,1
112,0,41,0,0.968,0
113,0,41,0,6.138,1
114,0,41,0,2.933,1
115,0,42,0,2.473,0
116,0,42,0,3.816,1
117,0,42,0,18.443,0
118,0,42,0,2.137,1
119,0,42,0,6.053,1
120,0,42,0,3.291,1
121,0,42,0,19.422,0
122,0,43,0,0.663,0
123,0,44,0,0.726,0
124,0,45,0,1.298,0
125,0,46,0,3.316,0
126,0,46,0,1.872,1
127,0,46,0,9.967,1
128,0,47,0,1.741,0
129,0,48,0,5.659,0
130,0,48,0,0.385,1
131,0,48,0,2.817,1
132,0,49,0,0.720,0
133,0,50,0,1.645,0
134,0,50,0,0.990,1
135,0,51,0,0.524,0
136,0,51,0,18.760,0
137,0,51,0,1.846,1
138,0,51,0,0.964,1
139,0,51,0,2.775,1
140,0,52,0,1.858,0
141,0,52,0,4.191,1
142,0,52,0,1.515,1
143,0,52,0,20.593,0
144,0,52,0,19.137,0
145,0,53,0,1.118,0
146,0,53,0,19.827,0
147,0,54,0,2.008,0
148,0,54,0,4.207,1
149,0,55,0,2.171,0
150,0,55,0,19.255,0
151,0,56,0,1.230,0
152,0,56,0,18.496,0
153,0,57,0,2.620,0
154,0,57,0,1.522,1
155,0,57,0,1.265,1
156,0,58,0,1.444,0
157,0,59,0,2.068,0
158,0,60,0,1.210,0
159,0,61,0,1.933,0
160,0,62,0,16.476,0
161,0,62,0,19.598,0
162,0,63,0,1.924,0
