episode,steps,collisions,timeout,runtime_s,success
0,0,0,0,13.315,1
1,0,0,0,1.766,1
2,0,1,0,4.247,0
3,0,2,0,15.018,0
4,0,3,0,4.909,0
5,0,3,0,9.617,1
6,0,3,0,20.270,1
7,0,3,0,4.105,1
8,0,4,0,7.625,0
9,0,4,0,55.608,0
10,0,4,0,16.519,1
11,0,4,0,4.993,1
12,0,5,0,15.510,0
13,0,5,0,7.190,1
14,0,5,0,7.424,1
15,0,5,0,5.232,1
16,0,5,0,13.124,1
17,0,5,0,6.118,1
18,0,5,0,14.944,1
19,0,6,0,1.998,0
20,0,6,0,19.899,1
21,0,7,0,1.671,0
22,0,8,0,9.768,0
23,0,8,0,7.201,1
24,0,8,0,8.782,1
25,0,8,0,13.364,1
26,0,8,0,9.792,1
27,0,9,0,8.339,0
28,0,9,0,7.720,1
29,0,9,0,20.265,1
30,0,10,0,15.208,0
31,0,10,0,55.869,0
32,0,10,0,7.992,1
33,0,10,0,11.855,1
34,0,10,0,7.856,1
35,0,11,0,0.114,0
36,0,11,0,13.245,1
37,0,12,0,7.898,0
38,0,12,0,7.844,1
39,0,13,0,2.636,0
40,0,13,0,13.210,1
41,0,13,0,2.126,1
42,0,13,0,10.646,1
43,0,13,0,10.898,1
44,0,13,0,12.807,1
45,0,13,0,9.440,1
46,0,13,0,55.096,0
47,0,13,0,7.800,1
48,0,13,0,9.769,1
49,0,13,0,10.560,1
50,0,13,0,11.394,1
51,0,13,0,7.727,1
52,0,13,0,5.622,1
53,0,13,0,8.894,1
54,0,13,0,16.225,1
55,0,13,0,6.442,1
56,0,13,0,11.395,1
57,0,13,0,2.777,1
58,0,13,0,14.741,1
59,0,13,0,55.318,0
60,0,13,0,6.519,1
61,0,13,0,6.522,1
62,0,13,0,4.407,1
63,0,14,0,3.180,0
64,0,14,0,1.119,1
65,0,14,0,13.640,1
66,0,14,0,12.774,1
67,0,14,0,13.333,1
68,0,14,0,9.648,1
69,0,14,0,3.681,1
70,0,14,0,9.127,1
71,0,14,0,8.555,1
72,0,15,0,3.199,0
73,0,15,0,9.511,1
74,0,15,0,8.542,1
75,0,15,0,8.348,1
76,0,15,0,7.649,1
77,0,15,0,18.271,1
78,0,15,0,13.975,1
79,0,15,0,26.241,1
80,0,16,0,9.492,0
81,0,16,0,16.485,1
82,0,16,0,5.113,1
83,0,17,0,3.877,0
84,0,17,0,16.050,1
85,0,18,0,8.157,0
86,0,18,0,15.089,1
87,0,18,0,9.345,1
88,0,18,0,55.726,0
89,0,18,0,12.357,1
90,0,19,0,2.583,0
91,0,20,0,9.570,0
92,0,20,0,11.147,1
93,0,20,0,14.131,1
94,0,20,0,12.239,1
95,0,20,0,6.984,1
96,0,21,0,8.068,0
97,0,21,0,11.785,1
98,0,21,0,22.388,1
99,0,22,0,4.856,0
100,0,22,0,5.220,1
101,0,22,0,13.558,1
102,0,22,0,12.281,1
103,0,22,0,9.184,1
104,0,22,0,18.367,1
105,0,22,0,11.471,1
106,0,22,0,16.671,1
107,0,22,0,10.853,1
108,0,22,0,12.126,1
109,0,23,0,9.646,0
110,0,23,0,8.333,1
111,0,23,0,12.021,1
112,0,23,0,10.656,1
113,0,24,0,4.979,0
114,0,24,0,10.373,1
115,0,24,0,10.335,1
116,0,24,0,2.361,1
117,0,24,0,12.673,1
118,0,24,0,8.560,1
119,0,24,0,14.102,1
120,0,25,0,9.522,0
121,0,26,0,14.190,0
122,0,26,0,10.703,1
123,0,26,0,10.862,1
124,0,26,0,27.030,1
125,0,27,0,8.388,0
126,0,27,0,9.902,1
127,0,28,0,8.505,0
128,0,28,0,15.838,1
129,0,28,0,56.622,0
130,0,28,0,17.221,1
131,0,28,0,26.862,1
132,0,29,0,8.023,0
