episode,steps,collisions,timeout,runtime_s,success
227,0,89,0,9.467,0
228,0,90,0,0.061,0
229,0,91,0,1.130,0
230,0,92,0,0.032,0
231,0,92,0,7.488,1
232,0,92,0,20.496,1
233,0,92,0,15.803,1
234,0,93,0,16.547,0
235,0,93,0,6.337,1
236,0,93,0,14.155,1
237,0,93,0,7.342,1
238,0,93,0,17.450,1
239,0,94,0,4.427,0
240,0,95,0,0.076,0
241,0,95,0,15.883,1
242,0,95,0,3.494,1
243,0,95,0,8.285,1
244,0,95,0,13.894,1
245,0,95,0,6.899,1
246,0,95,0,19.938,1
247,0,95,0,25.207,1
248,0,96,0,8.065,0
249,0,97,0,3.381,0
250,0,98,0,0.037,0
251,0,99,0,16.031,0
252,0,100,0,0.073,0
253,0,100,0,45.916,0
254,0,100,0,42.046,0
255,0,100,0,13.120,1
256,0,100,0,17.160,1
257,0,100,0,10.452,1
258,0,101,0,5.155,0
259,0,102,0,0.069,0
260,0,102,0,10.393,1
261,0,102,0,13.445,1
262,0,102,0,21.759,1
263,0,102,0,18.377,1
264,0,102,0,17.579,1
265,0,102,0,6.742,1
266,0,102,0,11.377,1
267,0,102,0,16.352,1
268,0,103,0,28.189,0
269,0,104,0,0.031,0
270,0,104,0,13.047,1
271,0,104,0,8.620,1
272,0,104,0,8.312,1
273,0,105,0,27.796,0
274,0,106,0,0.065,0
275,0,107,0,24.853,0
276,0,108,0,34.776,0
277,0,109,0,0.041,0
278,0,109,0,29.021,1
279,0,109,0,12.799,1
280,0,109,0,19.699,1
281,0,109,0,15.260,1
282,0,109,0,17.424,1
283,0,109,0,8.101,1
284,0,110,0,16.756,0
285,0,110,0,11.700,1
286,0,110,0,30.284,1
287,0,111,0,11.893,0
288,0,112,0,0.063,0
289,0,112,0,8.657,1
290,0,112,0,10.173,1
291,0,112,0,17.664,1
292,0,112,0,25.343,1
293,0,113,0,11.926,0
294,0,114,0,0.091,0
295,0,115,0,10.476,0
296,0,116,0,0.050,0
297,0,116,0,6.965,1
298,0,116,0,23.737,1
299,0,116,0,15.103,1
300,0,116,0,14.598,1
301,0,117,0,28.374,0
302,0,118,0,0.070,0
303,0,118,0,14.250,1
304,0,119,0,5.974,0
305,0,120,0,0.033,0
306,0,120,0,7.464,1
307,0,120,0,10.895,1
308,0,120,0,16.171,1
309,0,121,0,10.169,0
310,0,122,0,0.034,0
311,0,122,0,10.688,1
312,0,123,0,3.906,0
313,0,124,0,0.103,0
314,0,124,0,19.531,1
315,0,124,0,13.585,1
316,0,124,0,12.214,1
317,0,125,0,5.347,0
318,0,125,0,41.168,0
319,0,125,0,12.692,1
320,0,125,0,21.123,1
321,0,125,0,18.531,1
322,0,125,0,37.255,0
323,0,125,0,6.341,1
324,0,125,0,5.543,1
325,0,125,0,9.507,1
326,0,125,0,35.375,0
327,0,125,0,0.056,1
328,0,126,0,1.240,0
329,0,127,0,0.051,0
330,0,127,0,8.901,1
331,0,127,0,39.260,0
332,0,128,0,5.463,0
333,0,129,0,0.046,0
334,0,129,0,3.512,1
335,0,129,0,35.553,0
336,0,129,0,12.683,1
337,0,129,0,3.587,1
338,0,129,0,10.854,1
339,0,129,0,9.333,1
340,0,129,0,35.436,0
341,0,130,0,21.573,0
342,0,131,0,0.074,0
343,0,131,0,16.391,1
344,0,131,0,8.196,1
345,0,131,0,10.476,1
346,0,131,0,35.389,0
347,0,132,0,9.608,0
348,0,132,0,10.897,1
349,0,132,0,4.951,1
350,0,132,0,5.612,1
351,0,132,0,14.144,1
352,0,133,0,1.869,0
353,0,133,0,61.669,0
354,0,134,0,3.470,0
355,0,135,0,0.037,0
356,0,135,0,11.446,1
357,0,135,0,25.489,1
358,0,135,0,7.825,1
359,0,135,0,19.060,1
360,0,135,0,47.139,0
361,0,136,0,3.676,0
362,0,137,0,0.035,0
363,0,137,0,44.242,0
364,0,138,0,26.020,0
365,0,138,0,9.884,1
366,0,138,0,7.738,1
367,0,138,0,17.291,1
368,0,139,0,11.216,0
369,0,140,0,0.064,0
370,0,140,0,41.490,0
371,0,140,0,41.224,0
372,0,140,0,6.791,1
373,0,141,0,19.201,0
374,0,142,0,0.059,0
375,0,142,0,0.846,1
376,0,142,0,7.630,1
377,0,142,0,3.543,1
378,0,142,0,12.257,1
379,0,142,0,44.293,0
380,0,142,0,16.725,1
381,0,143,0,9.788,0
382,0,144,0,0.083,0
383,0,144,0,8.775,1
384,0,144,0,13.331,1
385,0,144,0,40.263,0
386,0,144,0,17.723,1
387,0,144,0,5.641,1
388,0,145,0,8.291,0
389,0,145,0,4.601,1
390,0,145,0,41.076,0
391,0,146,0,12.709,0
392,0,147,0,0.074,0
393,0,147,0,3.763,1
394,0,147,0,44.786,0
395,0,148,0,28.323,0
396,0,149,0,0.084,0
397,0,149,0,4.336,1
398,0,149,0,2.581,1
399,0,149,0,9.018,1
400,0,150,0,3.744,0
401,0,151,0,0.095,0
402,0,151,0,29.237,1
403,0,151,0,3.767,1
404,0,151,0,43.101,0
405,0,151,0,12.768,1
406,0,151,0,43.703,0
407,0,152,0,9.406,0
408,0,153,0,0.054,0
409,0,153,0,19.437,1
410,0,153,0,38.200,0
411,0,153,0,9.751,1
412,0,153,0,1.825,1
413,0,154,0,22.722,0
414,0,155,0,0.061,0
415,0,156,0,8.666,0
416,0,157,0,0.065,0
417,0,157,0,10.890,1
418,0,157,0,35.325,0
