episode,steps,collisions,timeout,runtime_s,success
0,0,0,0,11.510,1
1,0,0,0,4.552,1
2,0,0,0,12.673,1
3,0,0,0,63.706,0
4,0,0,0,65.154,0
5,0,0,0,14.718,1
6,0,0,0,1.128,1
7,0,1,0,18.158,0
8,0,1,0,20.763,1
9,0,2,0,7.117,0
10,0,2,0,63.118,0
11,0,3,0,1.555,0
12,0,3,0,4.761,1
13,0,3,0,7.176,1
14,0,3,0,7.207,1
15,0,3,0,3.952,1
16,0,4,0,1.176,0
17,0,4,0,11.891,1
18,0,4,0,6.687,1
19,0,4,0,8.985,1
20,0,5,0,1.401,0
21,0,5,0,1.803,1
22,0,6,0,1.216,0
23,0,6,0,8.025,1
24,0,7,0,3.083,0
25,0,8,0,3.425,0
26,0,8,0,5.539,1
27,0,8,0,3.868,1
28,0,8,0,27.095,1
29,0,8,0,14.554,1
30,0,8,0,9.693,1
31,0,9,0,22.810,0
32,0,9,0,7.556,1
33,0,9,0,7.405,1
34,0,9,0,5.813,1
35,0,9,0,9.356,1
36,0,9,0,7.984,1
37,0,10,0,0.141,0
38,0,10,0,64.203,0
39,0,11,0,3.647,0
40,0,11,0,8.241,1
41,0,11,0,14.791,1
42,0,12,0,5.153,0
43,0,12,0,3.864,1
44,0,12,0,65.517,0
45,0,12,0,64.184,0
46,0,12,0,6.559,1
47,0,13,0,6.237,0
48,0,14,0,2.639,0
49,0,14,0,8.193,1
50,0,14,0,11.737,1
51,0,14,0,2.232,1
52,0,15,0,18.960,0
53,0,15,0,3.855,1
54,0,15,0,6.754,1
55,0,15,0,62.876,0
56,0,16,0,26.757,0
57,0,17,0,11.397,0
58,0,18,0,14.669,0
59,0,19,0,6.046,0
60,0,19,0,8.100,1
61,0,19,0,2.603,1
62,0,19,0,10.419,1
63,0,20,0,5.331,0
64,0,21,0,3.023,0
65,0,22,0,17.261,0
66,0,22,0,61.981,0
67,0,23,0,14.412,0
68,0,23,0,4.831,1
69,0,24,0,6.151,0
70,0,24,0,13.203,1
71,0,24,0,62.678,0
72,0,25,0,0.945,0
73,0,26,0,5.644,0
74,0,26,0,8.998,1
75,0,26,0,8.873,1
76,0,26,0,9.488,1
77,0,26,0,3.453,1
78,0,26,0,7.413,1
79,0,26,0,8.902,1
80,0,26,0,9.534,1
81,0,26,0,13.033,1
82,0,26,0,12.230,1
83,0,26,0,7.983,1
84,0,27,0,6.629,0
85,0,27,0,8.546,1
86,0,27,0,8.634,1
87,0,27,0,62.099,0
88,0,28,0,7.098,0
89,0,29,0,4.764,0
90,0,29,0,7.228,1
91,0,29,0,10.863,1
92,0,29,0,63.648,0
93,0,29,0,8.960,1
94,0,29,0,9.943,1
95,0,29,0,2.455,1
96,0,29,0,62.723,0
97,0,30,0,5.573,0
98,0,31,0,0.911,0
99,0,31,0,10.195,1
100,0,31,0,8.093,1
101,0,32,0,7.923,0
102,0,32,0,21.383,1
103,0,32,0,7.807,1
104,0,33,0,4.166,0
105,0,34,0,6.442,0
106,0,34,0,60.988,0
107,0,34,0,7.472,1
108,0,34,0,0.920,1
109,0,34,0,3.370,1
110,0,34,0,7.144,1
111,0,34,0,19.662,1
112,0,34,0,19.033,1
113,0,35,0,2.030,0
114,0,36,0,6.820,0
115,0,37,0,3.633,0
116,0,38,0,0.927,0
117,0,39,0,2.856,0
118,0,40,0,5.529,0
119,0,41,0,7.005,0
120,0,41,0,60.805,0
121,0,41,0,61.602,0
122,0,41,0,64.187,0
123,0,41,0,12.020,1
124,0,41,0,13.200,1
125,0,41,0,11.501,1
126,0,41,0,62.153,0
127,0,41,0,9.564,1
128,0,42,0,6.881,0
129,0,42,0,7.603,1
130,0,42,0,0.133,1
131,0,43,0,2.926,0
132,0,44,0,5.929,0
133,0,44,0,5.426,1
134,0,44,0,17.151,1
135,0,44,0,7.648,1
136,0,44,0,23.665,1
137,0,44,0,12.630,1
138,0,44,0,12.176,1
139,0,44,0,6.642,1
140,0,45,0,5.922,0
141,0,45,0,2.382,1
