episode,steps,collisions,timeout,runtime_s,success
0,0,1,0,4.650,0
1,0,1,0,20.862,0
2,0,1,0,1.697,1
3,0,1,0,6.181,1
4,0,2,0,3.931,0
5,0,3,0,4.184,0
6,0,4,0,0.560,0
7,0,4,0,1.781,1
8,0,5,0,0.627,0
9,0,6,0,0.527,0
10,0,6,0,2.081,1
11,0,6,0,3.435,1
12,0,7,0,1.475,0
13,0,7,0,3.679,1
14,0,7,0,22.680,0
15,0,8,0,3.022,0
16,0,9,0,11.892,0
17,0,10,0,0.363,0
18,0,11,0,4.440,0
19,0,11,0,21.896,0
20,0,12,0,2.730,0
21,0,12,0,4.914,1
22,0,13,0,1.887,0
23,0,13,0,8.274,1
24,0,14,0,1.848,0
25,0,14,0,3.504,1
26,0,14,0,3.540,1
27,0,14,0,2.937,1
28,0,14,0,3.435,1
29,0,15,0,1.014,0
30,0,15,0,21.368,0
31,0,15,0,15.214,1
32,0,15,0,1.703,1
33,0,16,0,0.053,0
34,0,16,0,4.293,1
35,0,17,0,1.363,0
36,0,18,0,2.317,0
37,0,19,0,4.360,0
38,0,19,0,1.961,1
39,0,19,0,5.312,1
40,0,20,0,1.284,0
41,0,20,0,5.117,1
42,0,21,0,0.589,0
43,0,22,0,4.635,0
44,0,22,0,4.302,1
45,0,22,0,22.639,0
46,0,23,0,6.373,0
47,0,24,0,1.142,0
48,0,24,0,4.806,1
49,0,24,0,2.714,1
50,0,24,0,2.853,1
51,0,25,0,13.463,0
52,0,26,0,0.403,0
53,0,27,0,1.289,0
54,0,27,0,5.570,1
55,0,27,0,3.341,1
56,0,27,0,4.907,1
57,0,27,0,7.199,1
58,0,27,0,2.853,1
59,0,28,0,4.711,0
60,0,28,0,2.349,1
61,0,28,0,6.748,1
62,0,28,0,10.802,1
63,0,29,0,4.461,0
64,0,29,0,3.929,1
65,0,29,0,2.566,1
66,0,30,0,0.489,0
67,0,30,0,2.741,1
68,0,31,0,1.249,0
69,0,31,0,1.266,1
70,0,31,0,2.815,1
71,0,32,0,0.538,0
72,0,33,0,2.300,0
73,0,33,0,1.266,1
74,0,33,0,20.799,0
75,0,34,0,2.397,0
76,0,34,0,5.735,1
77,0,34,0,4.070,1
78,0,35,0,5.351,0
79,0,35,0,2.247,1
80,0,35,0,6.537,1
81,0,35,0,3.098,1
82,0,36,0,0.636,0
83,0,36,0,21.971,0
84,0,37,0,2.638,0
85,0,37,0,23.407,0
86,0,38,0,1.411,0
87,0,39,0,2.490,0
88,0,40,0,1.823,0
89,0,40,0,3.743,1
90,0,41,0,2.888,0
91,0,42,0,4.742,0
92,0,42,0,1.756,1
93,0,43,0,0.723,0
94,0,43,0,3.060,1
95,0,43,0,22.452,0
96,0,43,0,0.454,1
97,0,43,0,4.957,1
98,0,43,0,21.179,0
99,0,43,0,8.273,1
100,0,43,0,4.944,1
101,0,43,0,14.685,1
102,0,44,0,0.486,0
103,0,44,0,6.511,1
104,0,45,0,1.220,0
105,0,46,0,2.584,0
106,0,47,0,4.418,0
107,0,47,0,2.363,1
108,0,48,0,12.279,0
109,0,48,0,10.667,1
110,0,48,0,6.658,1
111,0,48,0,2.418,1
112,0,48,0,22.897,0
113,0,49,0,1.215,0
114,0,49,0,2.331,1
115,0,50,0,10.721,0
116,0,50,0,21.735,0
117,0,50,0,17.312,1
118,0,51,0,11.279,0
119,0,52,0,1.572,0
120,0,52,0,3.468,1
121,0,52,0,3.340,1
122,0,52,0,21.974,0
123,0,52,0,1.959,1
124,0,52,0,2.857,1
125,0,52,0,24.251,0
126,0,53,0,2.786,0
127,0,53,0,2.914,1
128,0,53,0,21.101,0
129,0,54,0,1.205,0
130,0,54,0,21.995,0
131,0,54,0,6.543,1
132,0,55,0,1.117,0
133,0,55,0,4.237,1
134,0,55,0,1.944,1
135,0,56,0,4.426,0
136,0,56,0,0.629,1
137,0,57,0,0.719,0
138,0,58,0,1.604,0
139,0,59,0,5.536,0
140,0,59,0,3.075,1
141,0,60,0,1.316,0
142,0,61,0,2.493,0
143,0,61,0,21.630,0
144,0,62,0,4.372,0
145,0,63,0,1.079,0
146,0,64,0,2.075,0
147,0,64,0,21.584,0
148,0,65,0,1.861,0
149,0,66,0,6.345,0
150,0,66,0,21.842,0
151,0,67,0,1.304,0
152,0,67,0,22.964,0
153,0,68,0,0.371,0
154,0,69,0,1.922,0
155,0,70,0,1.520,0
156,0,70,0,3.277,1
157,0,71,0,1.956,0
158,0,71,0,1.008,1
159,0,72,0,2.906,0
160,0,73,0,1.478,0
161,0,73,0,3.626,1
162,0,73,0,2.218,1
163,0,74,0,2.154,0
164,0,74,0,7.580,1
165,0,74,0,2.584,1
166,0,74,0,22.051,0
167,0,74,0,1.192,1
168,0,75,0,2.868,0
169,0,76,0,2.242,0
170,0,77,0,9.353,0
171,0,77,0,7.620,1
172,0,77,0,5.543,1
173,0,77,0,1.730,1
174,0,77,0,2.993,1
175,0,77,0,2.047,1
176,0,78,0,1.699,0
177,0,79,0,0.235,0
178,0,79,0,17.411,1
179,0,80,0,3.639,0
180,0,80,0,21.256,0
181,0,80,0,4.347,1
182,0,81,0,1.203,0
183,0,81,0,5.721,1
184,0,82,0,2.145,0
185,0,82,0,5.665,1
186,0,83,0,0.048,0
187,0,84,0,4.116,0
188,0,84,0,4.857,1
189,0,84,0,6.367,1
190,0,84,0,2.676,1
191,0,85,0,2.960,0
192,0,85,0,3.063,1
193,0,86,0,5.331,0
194,0,86,0,2.876,1
195,0,87,0,7.754,0
196,0,88,0,0.296,0
197,0,89,0,8.334,0
198,0,89,0,6.154,1
199,0,90,0,6.967,0
200,0,90,0,21.961,0
201,0,90,0,2.241,1
202,0,90,0,4.008,1
203,0,90,0,3.984,1
204,0,91,0,1.007,0
205,0,92,0,3.901,0
206,0,93,0,2.064,0
207,0,93,0,21.300,0
208,0,93,0,4.430,1
209,0,93,0,1.469,1
210,0,93,0,2.879,1
211,0,93,0,3.026,1
212,0,94,0,0.799,0
213,0,95,0,0.731,0
214,0,95,0,2.120,1
215,0,95,0,5.022,1
216,0,95,0,5.590,1
217,0,96,0,3.604,0
218,0,96,0,22.645,0
219,0,97,0,5.705,0
220,0,98,0,1.840,0
221,0,98,0,9.585,1
222,0,98,0,4.516,1
223,0,98,0,3.948,1
224,0,98,0,5.215,1
225,0,98,0,7.843,1
226,0,99,0,1.171,0
227,0,99,0,15.641,1
228,0,100,0,3.906,0
229,0,101,0,6.828,0
230,0,102,0,2.352,0
231,0,103,0,0.476,0
232,0,103,0,10.934,1
233,0,104,0,0.757,0
234,0,105,0,2.789,0
235,0,106,0,0.667,0
236,0,106,0,21.613,0
237,0,107,0,0.655,0
238,0,108,0,1.302,0
239,0,109,0,4.815,0
240,0,109,0,8.172,1
241,0,109,0,3.075,1
242,0,109,0,0.812,1
243,0,109,0,3.561,1
244,0,110,0,2.484,0
245,0,110,0,2.909,1
246,0,111,0,0.209,0
247,0,112,0,2.056,0
248,0,112,0,22.317,0
249,0,113,0,3.223,0
250,0,113,0,5.711,1
251,0,113,0,4.739,1
252,0,113,0,2.906,1
253,0,114,0,1.957,0
254,0,115,0,3.793,0
255,0,116,0,0.407,0
256,0,117,0,9.707,0
257,0,118,0,1.796,0
258,0,119,0,0.820,0
259,0,120,0,1.040,0
260,0,120,0,3.820,1
261,0,120,0,2.635,1
262,0,121,0,3.219,0
263,0,122,0,2.759,0
264,0,123,0,3.440,0
265,0,124,0,2.481,0
266,0,124,0,2.726,1
267,0,125,0,1.265,0
268,0,126,0,2.067,0
269,0,126,0,22.162,1
270,0,126,0,22.781,0
271,0,127,0,16.370,0
272,0,127,0,4.925,1
273,0,128,0,2.690,0
274,0,129,0,0.443,0
275,0,129,0,21.162,0
276,0,130,0,6.839,0
277,0,130,0,2.824,1
278,0,131,0,0.613,0
279,0,132,0,0.693,0
280,0,133,0,4.458,0
281,0,134,0,5.043,0
282,0,134,0,3.105,1
283,0,135,0,0.672,0
284,0,135,0,3.216,1
285,0,135,0,6.173,1
286,0,135,0,3.472,1
287,0,136,0,1.064,0
288,0,137,0,1.464,0
289,0,138,0,0.312,0
290,0,138,0,6.903,1
291,0,138,0,22.508,0
292,0,138,0,7.622,1
293,0,139,0,1.111,0
294,0,140,0,2.153,0
295,0,140,0,4.038,1
296,0,140,0,22.970,0
297,0,140,0,4.587,1
298,0,140,0,1.752,1
299,0,141,0,2.917,0
300,0,141,0,3.101,1
301,0,142,0,2.954,0
302,0,143,0,1.690,0
303,0,143,0,2.173,1
304,0,143,0,22.237,0
305,0,143,0,22.004,0
306,0,143,0,5.375,1
307,0,144,0,2.238,0
308,0,145,0,1.041,0
309,0,146,0,0.422,0
310,0,146,0,1.648,1
311,0,147,0,1.781,0
312,0,147,0,9.765,1
313,0,147,0,3.519,1
314,0,147,0,21.337,0
315,0,148,0,2.895,0
316,0,149,0,1.436,0
317,0,150,0,1.924,0
318,0,151,0,6.238,0
319,0,151,0,4.040,1
320,0,151,0,3.559,1
321,0,152,0,2.496,0
322,0,152,0,3.279,1
323,0,153,0,8.332,0
324,0,153,0,2.823,1
325,0,153,0,5.521,1
326,0,153,0,2.034,1
327,0,154,0,4.271,0
328,0,154,0,11.696,1
329,0,155,0,3.261,0
330,0,155,0,4.863,1
331,0,155,0,4.279,1
332,0,155,0,5.010,1
333,0,155,0,3.606,1
334,0,155,0,1.625,1
335,0,156,0,1.609,0
336,0,156,0,3.354,1
337,0,156,0,6.681,1
338,0,157,0,2.764,0
339,0,157,0,2.671,1
340,0,157,0,8.590,1
341,0,157,0,3.285,1
342,0,157,0,3.232,1
343,0,158,0,0.746,0
344,0,158,0,9.606,1
345,0,158,0,22.819,0
346,0,158,0,2.988,1
347,0,158,0,22.768,0
348,0,159,0,0.744,0
349,0,160,0,3.790,0
350,0,160,0,3.108,1
351,0,160,0,4.135,1
352,0,161,0,0.138,0
353,0,161,0,2.318,1
354,0,161,0,2.730,1
355,0,162,0,3.239,0
356,0,162,0,2.923,1
357,0,162,0,2.545,1
358,0,163,0,1.190,0
359,0,163,0,5.084,1
360,0,163,0,13.108,1
361,0,164,0,0.704,0
362,0,164,0,3.902,1
363,0,165,0,1.312,0
364,0,165,0,3.563,1
365,0,166,0,2.358,0
366,0,166,0,2.599,1
367,0,166,0,1.268,1
368,0,166,0,21.976,0
369,0,166,0,1.225,1
370,0,166,0,12.122,1
371,0,166,0,3.587,1
372,0,167,0,1.060,0
373,0,167,0,1.541,1
374,0,167,0,1.895,1
375,0,167,0,23.015,0
376,0,168,0,2.229,0
377,0,168,0,22.020,0
378,0,168,0,21.235,0
379,0,169,0,0.946,0
380,0,169,0,3.210,1
381,0,169,0,2.172,1
382,0,170,0,0.546,0
383,0,170,0,4.574,1
384,0,170,0,3.693,1
385,0,170,0,22.003,0
386,0,170,0,4.407,1
387,0,170,0,7.330,1
388,0,171,0,2.572,0
389,0,172,0,2.887,0
390,0,172,0,3.404,1
391,0,173,0,0.936,0
392,0,173,0,2.525,1
393,0,173,0,9.777,1
394,0,173,0,4.045,1
395,0,173,0,22.388,0
396,0,173,0,2.423,1
397,0,173,0,7.797,1
398,0,173,0,3.093,1
399,0,173,0,1.504,1
400,0,173,0,21.664,0
401,0,173,0,21.992,0
402,0,174,0,1.226,0
403,0,174,0,3.019,1
404,0,175,0,2.320,0
405,0,175,0,18.257,1
406,0,176,0,4.054,0
407,0,176,0,7.744,1
408,0,176,0,21.919,0
409,0,176,0,1.061,1
410,0,177,0,2.343,0
411,0,177,0,0.043,1
412,0,178,0,1.757,0
413,0,179,0,2.513,0
414,0,179,0,4.292,1
415,0,180,0,2.727,0
416,0,181,0,1.463,0
417,0,181,0,2.940,1
418,0,182,0,3.743,0
419,0,182,0,6.967,1
420,0,183,0,1.294,0
421,0,183,0,11.676,1
422,0,183,0,4.220,1
423,0,184,0,0.840,0
424,0,184,0,5.258,1
425,0,184,0,3.883,1
426,0,185,0,0.760,0
427,0,185,0,1.280,1
428,0,186,0,4.213,0
429,0,187,0,5.699,0
430,0,188,0,3.432,0
431,0,188,0,4.770,1
432,0,188,0,3.351,1
433,0,189,0,1.466,0
434,0,190,0,3.848,0
435,0,190,0,8.241,1
436,0,190,0,1.511,1
437,0,191,0,1.764,0
438,0,192,0,4.459,0
439,0,193,0,0.935,0
440,0,194,0,2.969,0
441,0,195,0,0.787,0
442,0,195,0,3.108,1
443,0,196,0,17.547,0
444,0,196,0,2.402,1
445,0,196,0,3.403,1
446,0,197,0,2.027,0
447,0,198,0,2.086,0
448,0,198,0,5.902,1
449,0,198,0,4.732,1
450,0,199,0,1.759,0
451,0,199,0,1.932,1
452,0,199,0,3.772,1
453,0,199,0,5.935,1
454,0,200,0,0.696,0
455,0,200,0,4.046,1
456,0,201,0,1.010,0
457,0,202,0,2.318,0
458,0,203,0,0.981,0
459,0,204,0,19.683,0
460,0,204,0,6.758,1
461,0,204,0,5.174,1
462,0,204,0,6.284,1
463,0,204,0,2.661,1
464,0,205,0,3.381,0
465,0,206,0,0.650,0
466,0,206,0,1.451,1
467,0,206,0,7.333,1
468,0,207,0,0.499,0
469,0,208,0,4.400,0
470,0,208,0,2.520,1
471,0,209,0,6.829,0
472,0,209,0,3.117,1
473,0,209,0,7.848,1
474,0,210,0,2.726,0
475,0,211,0,3.150,0
476,0,211,0,7.148,1
477,0,212,0,1.914,0
478,0,212,0,3.737,1
479,0,212,0,1.740,1
480,0,212,0,3.991,1
481,0,212,0,2.129,1
482,0,213,0,7.158,0
483,0,214,0,0.548,0
484,0,214,0,22.374,0
485,0,214,0,10.056,1
486,0,215,0,3.737,0
487,0,215,0,16.191,1
488,0,216,0,1.249,0
489,0,217,0,3.498,0
490,0,218,0,1.099,0
491,0,218,0,3.647,1
492,0,218,0,21.304,0
493,0,219,0,2.433,0
494,0,220,0,1.460,0
495,0,221,0,8.398,0
496,0,221,0,3.423,1
497,0,221,0,2.879,1
498,0,221,0,21.924,0
499,0,222,0,0.371,0
500,0,222,0,7.539,1
501,0,223,0,4.266,0
502,0,224,0,2.237,0
503,0,225,0,0.713,0
504,0,226,0,0.922,0
505,0,226,0,21.263,0
506,0,227,0,4.308,0
507,0,227,0,4.110,1
508,0,228,0,2.137,0
509,0,228,0,5.574,1
510,0,229,0,2.329,0
511,0,229,0,2.914,1
512,0,229,0,7.824,1
513,0,230,0,2.079,0
514,0,230,0,6.788,1
515,0,230,0,5.985,1
516,0,231,0,3.175,0
517,0,232,0,3.724,0
518,0,232,0,1.825,1
519,0,233,0,0.987,0
520,0,233,0,2.219,1
521,0,233,0,2.222,1
522,0,233,0,2.442,1
523,0,233,0,3.106,1
524,0,233,0,3.646,1
525,0,233,0,21.945,0
526,0,234,0,1.645,0
527,0,235,0,2.351,0
528,0,235,0,22.004,0
529,0,235,0,23.772,0
530,0,235,0,21.853,0
531,0,235,0,0.910,1
532,0,235,0,4.216,1
533,0,236,0,5.283,0
534,0,236,0,0.880,1
535,0,237,0,1.374,0
536,0,237,0,22.317,0
537,0,238,0,1.004,0
538,0,239,0,15.329,0
539,0,239,0,22.930,0
540,0,240,0,1.356,0
541,0,240,0,1.998,1
542,0,240,0,1.681,1
543,0,240,0,5.041,1
544,0,240,0,4.898,1
545,0,240,0,1.966,1
546,0,240,0,3.143,1
547,0,241,0,9.250,0
